iso,year,crop,yield,area,production,yield_trend,yield_anom_pct,spei3_gs,spei6_gs,spei12_gs,spi6_gs,spei12_ann,gs_t,gs_p,gs_t_z,gs_p_z,ann_t,ann_p,t_max_gs_z,spei3_min_gs,oni_djf,oni_mam,oni_jja,price_usd_t,price_lcu_t,spei6_gs_lag1,yield_anom_lag1
BLR,1992,Barley,2662.3,1102000.0,2933800.0,2500.5448355073067,6.468796807631598,-2.4268868818367464,-2.2179090101662924,-2.183531116594818,-2.848778498773632,-0.9203025999349177,17.384999999999998,154.65,0.3180402739696571,-2.445033934643952,7.29,574.96,0.3388715963055604,-2.4268868818367464,1.71,1.29,0.37,,,,
BLR,1993,Barley,2838.5,1115000.0,3164900.0,2449.939721741599,15.85999340351866,1.186221273365633,0.33149863001383173,1.3511821587970636,0.03177328687106395,0.6820632279008215,15.739999999999998,290.87,-1.6537295150256603,0.08088426961516917,6.246666666666666,653.53,-2.4841518143298504,-1.2925588354333364,0.09,0.67,0.32,,,-2.2179090101662924,6.468796807631598
BLR,1994,Barley,2378.3,1267000.0,3013300.0,2405.383593362768,-1.1259573499004532,-1.6415465866057843,-0.7480609719046634,-0.07348299890862699,-0.9134322044508179,-0.35313448334717223,16.125,211.74,-1.19225147930335,-1.3864179437384077,6.876666666666666,615.1800000000001,0.6244375482484499,-1.6415465866057843,0.06,0.31,0.44,54.5,198400.0,0.33149863001383173,15.85999340351866
BLR,1995,Barley,1901.7,1033000.0,1964500.0,2366.74288228354,-19.64906647716822,-1.2921690267861754,-0.8825843240193568,-0.5180606355925735,-0.5891435929200936,-0.7505533588581954,16.9775,240.57,-0.17040725734681086,-0.851825212650532,7.023333333333333,603.87,-0.6810068034904692,-1.2921690267861754,0.96,0.3,-0.24,144.0,1262000.0,-0.7480609719046634,-1.1259573499004532
BLR,1996,Barley,2346.2,935000.0,2193700.0,2333.695958331554,0.5358042303585087,-1.22506297748648,-1.3084650210105782,-1.3589272064023128,-1.5673943120326614,-0.8130300504524618,16.6575,241.03,-0.5539734169082104,-0.8432954639061537,5.642500000000001,581.62,-1.0318449730203032,-1.22506297748648,-0.9,-0.39,-0.27,175.1,2316000.0,-0.8825843240193568,-19.64906647716822
BLR,1997,Barley,2665.4,885000.0,2358900.0,2306.5051917133896,15.560112744424611,0.034492215214769535,0.5918365555282465,0.3837232139049217,0.5120950805274603,0.7177804497554414,16.645,313.82,-0.5689564700160767,0.5064445602314281,6.414166666666667,673.81,-0.8523463746562029,0.034492215214769535,-0.5,0.28,1.6,191.9,4993000.0,-1.3084650210105782,0.5358042303585087
BLR,1998,Barley,1934.2,839000.0,1622800.0,2285.0039082381986,-15.352442373224564,1.614284868838161,1.6842494358073825,1.9500198708647258,2.11201006761278,1.6866051642549476,16.2575,387.57,-1.0334311163599579,1.8739857991398863,6.6375,786.46,-1.3582060609550315,0.5304487733025505,2.24,0.99,-0.78,154.0,7102000.0,0.5918365555282465,15.560112744424611
BLR,1999,Barley,1456.1,811000.0,1180900.0,2268.6251981919904,-35.815753031375245,-1.2528363660637007,-1.3434683906046265,-0.5131119248536443,-0.6518931682617697,-1.2272331850794163,17.375,254.70000000000002,0.3060538314833658,-0.5898135827416975,7.7775,591.92,1.0242298809684922,-1.3982320046207026,-1.55,-0.98,-1.1,140.0,34893000.0,1.6842494358073825,-15.352442373224564
BLR,2000,Barley,1871.7,736000.0,1377600.0,2320.5265969374123,-19.341583825402612,0.8455990046474648,0.04089054677523705,-0.3337243660434378,0.47669504399979995,-0.5067601592053134,16.165,298.55,-1.144305709358176,0.2232939877821789,8.015833333333333,629.25,-1.7579983936750767,-1.3573934460893031,-1.66,-0.81,-0.55,129.1,113200.0,-1.3434683906046265,-35.815753031375245
BLR,2001,Barley,2252.2,755000.0,1700400.0,2389.4651232843826,-5.744596225606684,-0.013469881956436712,-0.16677684403883794,-0.68796302853282,0.43908979714214297,-0.08375756282642939,17.1425,296.09000000000003,0.027369043677034594,0.17767837493180902,7.109166666666667,667.51,1.63615692084611,-0.32585088755956626,-0.68,-0.34,-0.08,97.7,135836.0,0.04089054677523705,-19.341583825402612
